/* DATA DESCRIPTION:
Citation:	Milcu, Alexandru; Puga-Freitas, Ruben; Ellison, Aaron M; Blouin, Manuel; Scheu, Stefan; Girin, Thomas; Freschet, Grégoire T; Rose, Laura; Scherer-Lorenzen, Michael; Barot, Sebastien; Lata, Jean-Christophe; Cesarz, Simone; Eisenhauer, Nico; Gigon, Agnès; Weigelt, Alexandra; Hansart, Amandine; Greiner, Anna; Pando, Anne; Gessler, Arthur; Grignani, Carlo; Assandri, Davide; Gleixner, Gerd; LeGalliard, Jean-Francois; Urban-Mead, Katherine; Zavattaro, Laura; Müller, Marina E H; Lange, Markus; Lukac, Martin; Bonkowski, Michael; Mannerheim, Neringa; Buchmann, Nina; Butenschoen, Olaf; Rotter, Paula; Seyhun, Rahme; Devidal, Sébastien; Kayler, Zachary; Roy, Jacques (2017): Data from 14 labortories testing the impact of introduced variability on the reproducibility of a microcosm ecological experiment. PANGAEA, https://doi.org/10.1594/PANGAEA.880980, 
	Supplement to: Milcu, A et al. (2018): Genotypic variability enhances the reproducibility of an ecological study. Nature Ecology & Evolution, 2, 279-287, https://doi.org/10.1038/s41559-017-0434-x
Abstract:	Although microcosm experiments are a frequent tool used to address fundamental ecological questions, there has been no quantitative assessment of the reproducibility of any microcosm experiment. This dataset contains the response variables measured in a multi-laboratory microcosm study in which the same microcosm experiment was repeated in 14 laboratories across Europe. All laboratories simultaneously run a simple microcosm experiment using grass (Brachypodium distachyon L.) monocultures and grass and legume (Medicago truncatula Gaertn.) mixtures. All twelve variables were then used to calculate the effect of the presence of nitrogen-fixing legume on the grass-legume mixtures (i.e. the net legume effect).
	The project tested a controversial hypotheses postulating that stringent levels of environmental and biotic standardization in experimental studies reduces reproducibility by amplifying impacts of lab-specific environmental factors not accounted for in the experimental design. This implies that the deliberate introduction of controlled systematic variability (CSV) in experimental designs can increase reproducibility. To test this hypothesis, each laboratory followed the same experimental protocol and introduced environmental and genotypic controlled systematic variability (CSV) within and among replicated microcosms established in either growth chambers (with stringent control of environmental conditions) or glasshouses (with more variable environmental conditions). Data were used to test the extent to which the effect size of the net legume effect varied with the CSV treatment and to estimate the number of laboratories that produced results that can be considered reproducible.
Parameter(s):	Laboratory (Lab) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Method comment (Method comm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: type of setup
	Identification (ID) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: Microcosm ID
	Block (Block) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Treatment (Treat) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: legume
	Treatment (Treat) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: controlled systematic variabiliy
	Genotype (Genotype) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: seed
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: shoot
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: root
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: total
	Root/shoot ratio (Root/shoot) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: biomass
	Brachypodium distachyon, height [cm] (B. distachyon height) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Nitrogen, shoot [%] (N shoot) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Carbon, shoot [%] (C shoot) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	δ15N [‰ air] (δ15N) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	δ13C [‰ PDB] (δ13C) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Evapotranspiration [ml/day] (ET) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Litter [g] (Litter) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: mass remaining
License:	Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported (CC-BY-NC-ND-3.0)
Size:	18824 data points
*/
Lab	Method comm	ID	Block	Treat (legume)	Treat (controlled systematic variabiliy)	Genotype	Biom dm [g] (seed)	Biom dm [g] (shoot)	Biom dm [g] (root)	Biom dm [g] (total)	Root/shoot	B. distachyon height [cm]	N shoot [%]	C shoot [%]	δ15N [‰ air]	δ13C [‰ PDB]	ET [ml/day]	Litter [g]
L2	greenhouse	45	block2	B	ENVb	B1	0.869	0.633	0.591	2.093	0.591	24.4	1.993	44.221	1.759	-31.606	80.5	0.60
L2	greenhouse	46	block2	B	GENw	B2	0.412	1.164		3.214		24.8	0.723	43.097	1.736	-30.879	80.3	0.75
L2	greenhouse	47	block2	B	GENw	B2	0.444	1.228	1.028	2.700	1.028	26.4	1.391	43.170	2.127	-30.854	80.2	0.90
L2	greenhouse	48	block2	B	GENw	B2	0.469	1.286		3.175		26.8	0.610	43.876	2.158	-30.846	78.7	0.78
L2	greenhouse	49	block2	B	GENb	B1	0.966	0.744	0.389	2.099	0.389	25.8	2.102	42.902	1.974	-31.468	73.1	0.77
L2	greenhouse	50	block2	B	GENb	B2	0.770	1.175	1.142	3.086	1.142	27.7	0.609	43.061	1.716	-31.279	80.9	0.66
L2	greenhouse	51	block2	B	GENb	B2	0.613	1.155	1.034	2.802	1.034	25.8	0.605	43.750	1.443	-30.801	81.6	0.64
L2	greenhouse	52	block2	B	ENVw+GENw	B2	0.752	1.194	0.307	2.253	0.307	25.9	1.776	44.245	2.667	-30.397	93.4	0.57
L2	greenhouse	53	block2	B	ENVw+GENw	B2	0.635	1.386	0.866	2.887	0.866	26.3	0.663	42.615	3.202	-29.929	85.1	0.64
L2	greenhouse	54	block2	B	ENVw+GENw	B2	0.828	1.122	0.732	2.682	0.732	27.5	0.644	44.094	2.661	-30.879	86.5	0.63
L2	greenhouse	55	block2	BM	CTR	B1	0.284	1.878	0.888	3.051	0.888	28.0	0.693	43.501	1.839	-31.010	74.9	0.70
L2	greenhouse	56	block2	BM	CTR	B1	0.292	1.798	1.243	3.333	1.243	27.8	0.650	44.061	1.608	-31.090	69.7	0.97
L2	greenhouse	57	block2	BM	CTR	B1	0.252	1.937	0.994	3.182	0.994		1.840	44.421	1.520	-31.568	90.0	0.77
L2	greenhouse	58	block2	BM	ENVw	B1	0.265	2.127	0.865	3.257	0.865		1.700	44.614	1.982	-30.739	102.5	0.56
L2	greenhouse	59	block2	BM	ENVw	B1	0.191	1.805	0.840	2.837	0.840	29.8	0.708	44.724	2.201	-31.709	85.2	0.63
L2	greenhouse	60	block2	BM	ENVw	B1	0.239	2.078	0.908	3.225	0.908	26.8	1.151	44.122	2.569	-31.046	100.6	0.64
L2	greenhouse	61	block2	BM	ENVb	B1	0.307	2.094	1.047	3.448	1.047	24.5	0.654	44.664	2.216	-31.215	90.7	0.83
L2	greenhouse	62	block2	BM	ENVb	B1	0.249	2.389	0.250	2.888	0.250	24.3	0.664	41.933	2.156	-30.992	96.8	0.78
L2	greenhouse	63	block2	BM	ENVb	B1	0.290	2.206	0.752	3.248	0.752	21.5	2.110	44.110		-31.233	111.1	0.53
L2	greenhouse	64	block2	BM	GENw	B1	0.224	1.955	0.966	3.145	0.966	21.9	1.834	44.586	1.993	-30.747	87.1	0.77
L2	greenhouse	65	block2	BM	GENw	B1	0.174	2.081	1.257	3.512	1.257	21.8	0.657	43.441		-30.643	87.6	0.75
L2	greenhouse	66	block2	BM	GENw	B1	0.175	1.887	0.830	2.892	0.830	25.9	2.373	43.043	1.613	-30.430	89.8	0.72
L2	greenhouse	67	block2	BM	GENb	B1	0.301	1.865	0.800	2.965	0.800	28.0	2.544	42.476	1.789	-31.460	86.4	0.75
L2	greenhouse	68	block2	BM	GENb	B1	0.310	1.767	1.010	3.087	1.010	26.8	0.584	43.605	2.727	-30.908	88.4	0.75
L2	greenhouse	69	block2	BM	GENb	B1	0.329	1.979	0.693	3.001	0.693	30.0	1.749		1.455	-30.560	89.4	0.74
L2	greenhouse	70	block2	BM	ENVw+GENw	B1	0.160	2.213	0.807	3.181	0.807		1.796	43.781	1.759	-29.739	104.9	0.63
L2	greenhouse	71	block2	BM	ENVw+GENw	B1	0.262	2.614	0.852	3.727	0.852	29.3	1.829	44.177	2.677	-29.820	112.6	0.56
L2	greenhouse	72	block2	BM	ENVw+GENw	B1	0.193	2.439	0.843	3.474	0.843	26.8	2.023	43.626	2.121		104.3	0.61
L3	growth_chamber	1	block1	B	CTR	B1	3.999	4.850	2.127	10.976	2.127	35.2		45.963	6.340	-33.824	134.8	0.41
L3	growth_chamber	2	block1	B	CTR	B1	3.766	3.850	1.814	9.430	1.814	35.2	1.058	47.105		-33.914	113.7	0.50
L3	growth_chamber	3	block1	B	CTR	B1	3.488	3.630	1.334	8.452	1.334	32.7	1.046	46.288	6.275	-33.463	129.8	0.54
L3	growth_chamber	4	block1	B	ENVw	B1	3.323	3.770	1.547	8.640	1.547	32.0	1.063	45.613	5.540	-33.585	119.2	0.49
L3	growth_chamber	5	block1	B	ENVw	B1	2.652	3.770	2.025	8.447	2.025	36.7	0.942	46.465	5.941	-33.473	143.4	0.64
L3	growth_chamber	6	block1	B	ENVw	B1	3.047	3.930	1.899	8.876	1.899	32.9	1.000	44.983	10.766	-33.772	129.5	0.54
L3	growth_chamber	7	block1	B	ENVb	B1	4.122	4.570	2.067	10.759	2.067	33.4	0.857	46.923	4.137	-33.907	131.9	0.66
L3	growth_chamber	8	block1	B	ENVb	B1	2.841	3.000	1.679	7.520	1.679	32.1	1.010	46.214	5.729	-33.820	107.2	0.49
L3	growth_chamber	9	block1	B	ENVb	B1	2.495	2.890	1.421	6.806	1.421	33.1	0.837	45.144	5.571	-34.067	115.8	0.68
L3	growth_chamber	10	block1	B	GENw	B2	1.872	5.680	3.001	10.553	3.001	40.1	0.958	45.984	3.847	-33.056	150.3	0.48
L3	growth_chamber	11	block1	B	GENw	B2	1.203	6.030	2.810	10.043	2.810	38.5	1.054	46.066	4.659	-33.058	169.4	0.43
L3	growth_chamber	12	block1	B	GENw	B2	0.954	3.660	1.827	6.441	1.827	34.3	0.972	45.577	7.283	-33.171	133.4	0.49
L3	growth_chamber	13	block1	B	GENb	B1	3.481	4.080	1.625	9.186	1.625	35.3	0.892	46.990	4.664	-33.790	144.1	0.60
L3	growth_chamber	14	block1	B	GENb	B2	1.631	5.770	2.082	9.483	2.082	37.7	1.110		4.604	-32.971	171.3	0.36
L3	growth_chamber	15	block1	B	GENb	B2	1.485	5.480	2.828	9.793	2.828	39.5	0.897	46.599	5.034	-32.870	171.7	0.39
L3	growth_chamber	16	block1	B	ENVw+GENw	B2	1.048	4.610	2.235	7.893	2.235	39.1	0.902	45.931	6.409	-32.999	160.2	0.60
L3	growth_chamber	17	block1	B	ENVw+GENw	B2	1.145	4.110	2.019	7.274	2.019	37.1	0.974	46.997	6.176	-33.081	152.7	0.74
L3	growth_chamber	18	block1	B	ENVw+GENw	B2	1.193	3.410	1.630	6.233	1.630	36.9	1.027	47.164	5.715	-33.174	126.8	0.71
L3	growth_chamber	19	block1	BM	CTR	B1	1.082	6.880	1.233	9.195	1.233	31.7	0.965	45.531	3.700	-33.447	308.0	0.64
L3	growth_chamber	20	block1	BM	CTR	B1	1.714	8.540	1.999	12.253	1.999	34.4	0.906	45.792	3.375	-33.419	300.9	0.62
L3	growth_chamber	21	block1	BM	CTR	B1	0.747	8.290	2.612	11.649	2.612	28.5	0.932		5.424	-33.724	337.1	0.70
L3	growth_chamber	22	block1	BM	ENVw	B1	1.072	6.730	3.980	11.782	3.980	31.1	0.875		7.671	-33.997	325.7	
L3	growth_chamber	23	block1	BM	ENVw	B1	0.290	5.460	2.262	8.012	2.262	23.9	0.936		6.563	-33.300	329.0	
L3	growth_chamber	24	block1	BM	ENVw	B1	0.329	6.216	2.233	8.778	2.233	20.4	0.911		5.217	-33.937	351.8	0.65
L3	growth_chamber	25	block1	BM	ENVb	B1	0.990	7.400	2.652	11.042	2.652	32.3					316.7	0.65
L3	growth_chamber	26	block1	BM	ENVb	B1	0.346	6.575	1.935	8.856	1.935	21.1					323.3	0.92
L3	growth_chamber	27	block1	BM	ENVb	B1	0.914	7.080	2.191	10.185	2.191	27.8	0.953		6.023	-33.665	301.9	0.75
L3	growth_chamber	28	block1	BM	GENw	B1	0.363	7.330	3.028	10.721	3.028	23.2	1.011		5.220	-33.284	320.3	0.68
L3	growth_chamber	29	block1	BM	GENw	B1	0.923	7.240	3.051	11.214	3.051	37.5	0.847		2.690	-33.433	270.6	0.50
L3	growth_chamber	30	block1	BM	GENw	B1	1.210	6.530	2.685	10.425	2.685	36.0	0.928		3.803	-33.608	303.1	0.49
L3	growth_chamber	31	block1	BM	GENb	B1	1.217	7.130	2.845	11.192	2.845	28.3	0.532	44.659	8.422	-33.358	301.8	0.49
L3	growth_chamber	32	block1	BM	GENb	B1	0.761	7.330	2.263	10.354	2.263	33.1	0.536	44.184	7.476	-33.760	285.9	0.63
L3	growth_chamber	33	block1	BM	GENb	B1	0.800	7.050	3.062	10.912	3.062	38.6	0.541	45.021	7.706	-32.828	266.4	0.59
L3	growth_chamber	34	block1	BM	ENVw+GENw	B1	0.300	6.070	2.167	8.537	2.167	29.0	0.519	43.663	9.473	-33.352	312.2	0.55
L3	growth_chamber	35	block1	BM	ENVw+GENw	B1	0.394	6.000	2.284	8.678	2.284	37.7	0.506	44.355	7.947	-33.251	299.9	0.80
L3	growth_chamber	36	block1	BM	ENVw+GENw	B1	0.319	5.760	2.468	8.547	2.468	28.5	0.564	43.146	8.365	-33.208	294.7	
L3	growth_chamber	37	block2	B	CTR	B1	3.217	3.140	1.339	7.696	1.339	33.7	0.555	45.021	8.049	-33.683	102.5	0.50
L3	growth_chamber	38	block2	B	CTR	B1	3.639	3.620	1.518	8.777	1.518	33.2	0.623	45.370	6.605	-33.681	124.1	0.62
L3	growth_chamber	39	block2	B	CTR	B1	3.401	3.350	1.679	8.430	1.679	32.7	0.551	45.057	7.163	-33.444	114.9	0.54
L3	growth_chamber	40	block2	B	ENVw	B1	1.554	1.510	0.972	4.036	0.972	29.2	0.550	45.069	12.624	-34.035	115.3	0.69
L3	growth_chamber	41	block2	B	ENVw	B1	2.352	2.430	1.312	6.094	1.312	29.8	0.509	44.786		-33.802	110.3	
L3	growth_chamber	42	block2	B	ENVw	B1	2.589	2.960	1.658	7.207	1.658	30.2	0.602	44.816	15.484	-33.840	101.3	0.66
L3	growth_chamber	43	block2	B	ENVb	B1	3.662	3.440	1.393	8.495	1.393	33.2	0.571	45.161	13.208	-33.314	123.8	0.72
L3	growth_chamber	44	block2	B	ENVb	B1	2.819	3.010	1.372	7.201	1.372	28.5	0.560	45.411	20.914	-33.420	124.1	
L3	growth_chamber	45	block2	B	ENVb	B1	2.762	2.820	1.426	7.008	1.426	32.0	0.612	45.787	13.513	-33.646	97.6	0.40
L3	growth_chamber	46	block2	B	GENw	B2	1.120	4.520	2.358	7.998	2.358	35.9	0.487	44.670	9.636	-32.735	162.4	0.57
L3	growth_chamber	47	block2	B	GENw	B2	0.552	2.310	1.301	4.163	1.301	27.3	0.567	44.860	14.111	-32.406	117.4	0.51
L3	growth_chamber	48	block2	B	GENw	B2	1.222	3.900	2.334	7.456	2.334	37.2	0.556	45.075	9.029	-33.028	147.2	0.67
L3	growth_chamber	49	block2	B	GENb	B1	3.757	3.950	1.759	9.466	1.759	32.5	0.532	44.984	8.233	-33.388	133.3	0.47
L3	growth_chamber	50	block2	B	GENb	B2	0.820	3.020	1.892	5.732	1.892	33.7	0.596	44.791	9.650	-33.001	141.3	0.52
L3	growth_chamber	51	block2	B	GENb	B2	0.968	2.450	1.087	4.505	1.087	35.8	0.549	44.736	13.202	-32.612	110.8	0.69
L3	growth_chamber	52	block2	B	ENVw+GENw	B2	1.486	4.240	2.643	8.369	2.643	38.0	0.523	44.964	12.310	-32.790	143.9	0.53
L3	growth_chamber	53	block2	B	ENVw+GENw	B2	1.521	3.750	1.994	7.265	1.994	34.7	0.609	44.858	13.432	-32.669	146.7	0.56
L3	growth_chamber	54	block2	B	ENVw+GENw	B2	1.293	3.990	1.892	7.175	1.892	35.8	0.483	44.852	15.260	-32.478	156.4	0.60
L3	growth_chamber	55	block2	BM	CTR	B1	1.259	6.550	2.153	9.962	2.153	30.0	0.489	44.298	12.182	-33.325	319.1	0.62
L3	growth_chamber	56	block2	BM	CTR	B1	0.538	6.230	2.316	9.084	2.316	25.9	0.502	44.224	9.543	-33.178	320.2	0.72
L3	growth_chamber	57	block2	BM	CTR	B1	1.544	6.250	2.585	10.379	2.585	30.1	0.614	45.029	8.983	-33.027	324.8	0.58
L3	growth_chamber	58	block2	BM	ENVw	B1	1.056	6.230	2.406	9.692	2.406	28.0	0.484	44.705	8.384	-32.799	297.8	0.61
L3	growth_chamber	59	block2	BM	ENVw	B1	0.755	7.790	2.706	11.251	2.706	25.3	0.582	44.311	8.727	-33.293	291.3	0.56
L3	growth_chamber	60	block2	BM	ENVw	B1	0.778	6.050	2.216	9.044	2.216	27.0	0.561	43.595	7.234	-33.393	335.3	0.69
L3	growth_chamber	61	block2	BM	ENVb	B1	1.381	7.190	2.384	10.955	2.384	30.0	0.581	44.496	9.989	-33.060	249.2	0.55
L3	growth_chamber	62	block2	BM	ENVb	B1	0.881	5.710	2.618	9.209	2.618	26.6	0.520	43.484	14.141	-33.733	304.2	0.62
L3	growth_chamber	63	block2	BM	ENVb	B1	0.796	6.350	2.756	9.902	2.756	26.6	0.508	43.647	12.320	-33.259	313.2	0.77
L3	growth_chamber	64	block2	BM	GENw	B1	0.912	7.100	2.996	11.008	2.996	41.0	0.578	44.029	14.776	-33.042	293.5	0.56
L3	growth_chamber	65	block2	BM	GENw	B1	0.398	4.580	2.179	7.157	2.179	33.8	0.588	44.223	15.036	-32.960	263.1	0.68
L3	growth_chamber	66	block2	BM	GENw	B1	0.374	6.180	2.726	9.280	2.726	26.8	0.567	44.174	12.939	-32.362	311.6	0.70
L3	growth_chamber	67	block2	BM	GENb	B1	1.498	7.630	2.697	11.825	2.697	30.2	0.503	45.425	10.177	-32.844	280.6	0.61
L3	growth_chamber	68	block2	BM	GENb	B1	0.610	6.010	1.958	8.578	1.958	34.4	0.492	43.807	7.191	-33.416	283.0	0.77
L3	growth_chamber	69	block2	BM	GENb	B1	0.661	6.020	2.671	9.352	2.671	40.6	0.478	43.947	5.417	-32.752	309.1	0.62
L3	growth_chamber	70	block2	BM	ENVw+GENw	B1	0.715	5.790	2.784	9.289	2.784	34.5	0.587	44.223	7.052	-32.728	288.1	0.79
L3	growth_chamber	71	block2	BM	ENVw+GENw	B1	0.201	5.680	2.858	8.739	2.858	38.0	0.503	43.973	15.192	-32.831	298.2	0.70
L3	growth_chamber	72	block2	BM	ENVw+GENw	B1	1.158	2.590	2.405	6.153	2.405	36.3	0.618	43.976	21.264	-32.943	319.8	0.69
L4	greenhouse	1	block1	B	CTR	B1	1.425	4.490	0.567	6.482	0.567	37.9	0.762	42.431	3.602	-32.129	79.1	0.53
L4	greenhouse	2	block1	B	CTR	B1	1.993	5.431	0.633	8.057	0.633	41.4	1.577		2.365	-31.447	88.7	0.72
L4	greenhouse	3	block1	B	CTR	B1	1.574	4.875	0.619	7.067	0.619	39.6	1.573	41.323	3.415	-31.997	101.8	0.61
L4	greenhouse	4	block1	B	ENVw	B1	1.149	2.719	0.277	4.145	0.277	30.0	1.513	41.875	3.651	-32.504	76.5	0.54
L4	greenhouse	5	block1	B	ENVw	B1	0.936	2.618	0.272	3.826	0.272	27.9	1.579	42.177	3.188	-32.383	72.2	0.59
L4	greenhouse	6	block1	B	ENVw	B1	0.717	1.673	0.115	2.505	0.115	27.0	2.039	41.066	3.789	-32.792	67.1	0.66
L4	greenhouse	7	block1	B	ENVb	B1	1.661	5.060	0.496	7.217	0.496	40.6	1.741	42.279	3.324	-31.940	81.0	0.72
L4	greenhouse	8	block1	B	ENVb	B1	1.650	4.705	0.484	6.840	0.484	38.0	1.081	42.672	3.054	-31.887	80.2	0.59
L4	greenhouse	9	block1	B	ENVb	B1	1.212	2.835	0.231	4.277	0.231	37.0	1.685	43.208	4.004	-32.743	83.8	0.73
L4	greenhouse	10	block1	B	GENw	B2	0.722	4.902	0.783	6.407	0.783	34.1	1.335	42.530	2.845	-31.266	79.9	0.50
L4	greenhouse	11	block1	B	GENw	B2	0.477	4.231	0.756	5.464	0.756	28.9	1.553	42.583	2.994	-31.627	75.4	0.60
L4	greenhouse	12	block1	B	GENw	B2	0.618	3.749	0.606	4.973	0.606	24.9	1.584		3.332	-31.422	75.8	0.53
L4	greenhouse	13	block1	B	GENb	B1	1.519	4.059	0.339	5.917	0.339	37.6	1.298		3.466	-31.941	96.1	0.58
L4	greenhouse	14	block1	B	GENb	B2	1.171	5.980	0.746	7.897	0.746	36.0	1.483	42.034	1.791		81.6	0.57
L4	greenhouse	15	block1	B	GENb	B2	0.498	3.925	0.615	5.038	0.615	25.5	1.262	41.999	2.978	-31.418	76.0	
L4	greenhouse	16	block1	B	ENVw+GENw	B2	0.271	3.201	0.570	4.042	0.570	30.1	1.505	41.156	2.888	-32.231	79.2	0.58
L4	greenhouse	17	block1	B	ENVw+GENw	B2	0.390	3.280	0.459	4.128	0.459	30.9	1.689	42.060	2.861	-31.950	60.1	0.62
L4	greenhouse	18	block1	B	ENVw+GENw	B2	0.588	2.612	0.371	3.571	0.371	29.7	1.644	41.380	3.068	-32.397	69.0	0.81
L4	greenhouse	19	block1	BM	CTR	B1	0.542	7.750	1.040	9.331	1.040	37.8	0.770	40.299	3.173	-31.951	232.4	0.63
L4	greenhouse	20	block1	BM	CTR	B1	0.467	9.018	1.068	10.553	1.068	37.0	0.671	40.506	2.769	-31.822	214.7	0.82
L4	greenhouse	21	block1	BM	CTR	B1	0.421	9.645	0.873	10.940	0.873	34.0	1.236	40.831	2.923	-31.731	104.2	0.65
L4	greenhouse	22	block1	BM	ENVw	B1	0.438	6.579	1.072	8.090	1.072	40.7	0.741	40.680	2.396	-32.250	159.2	0.70
L4	greenhouse	23	block1	BM	ENVw	B1	0.094	7.543	0.896	8.532	0.896	26.3	1.417	40.643	3.485	-32.474	172.9	0.69
L4	greenhouse	24	block1	BM	ENVw	B1	0.515	6.857	0.868	8.240	0.868	34.1	0.788	42.393	2.929	-31.984	199.1	0.58
L4	greenhouse	25	block1	BM	ENVb	B1	0.527	8.990	1.002	10.519	1.002	38.6	0.689	42.033	3.157	-31.753	196.0	0.81
L4	greenhouse	26	block1	BM	ENVb	B1	0.479	8.125	0.919	9.523	0.919	40.3	0.724	41.870	3.153	-32.107	215.8	0.59
L4	greenhouse	27	block1	BM	ENVb	B1	0.427	7.757	0.883	9.067	0.883	37.1	1.494	41.399	3.031	-32.444	169.1	0.82
L4	greenhouse	28	block1	BM	GENw	B1	0.124	8.415	1.243	9.781	1.243	27.5	1.369	41.331	3.394	-31.675	200.6	0.59
L4	greenhouse	29	block1	BM	GENw	B1	0.340	8.282	1.019	9.641	1.019	25.6	1.427	40.932	2.451	-31.189	162.7	0.65
L4	greenhouse	30	block1	BM	GENw	B1	0.359	8.833	1.354	10.545	1.354	35.8	1.600	40.917	3.204	-31.094	188.1	0.58
L4	greenhouse	31	block1	BM	GENb	B1	0.802	8.778	0.989	10.570	0.989	44.2	0.777	42.584	2.122	-31.518	151.3	0.62
L4	greenhouse	32	block1	BM	GENb	B1	0.173	8.540	1.230	9.943	1.230	28.1	0.740	41.648	3.812	-31.547	189.4	0.73
L4	greenhouse	33	block1	BM	GENb	B1	0.205	8.571	1.190	9.966	1.190	27.3	1.492	41.391	3.890	-31.453	184.0	0.66
L4	greenhouse	34	block1	BM	ENVw+GENw	B1	0.078	6.246	0.890	7.214	0.890	28.2	1.509	41.042	3.255	-32.506	73.1	0.57
L4	greenhouse	35	block1	BM	ENVw+GENw	B1	0.057	7.192	1.037	8.286	1.037	27.2	1.317	39.775	3.738	-32.248	157.2	0.62
L4	greenhouse	36	block1	BM	ENVw+GENw	B1	0.058	6.375	1.052	7.485	1.052	21.7	1.838	40.906	3.896	-31.818	147.5	0.62
L4	greenhouse	37	block2	B	CTR	B1	1.955	4.888	0.613	7.456	0.613	41.7	0.750	42.842	1.630	-31.607	88.9	0.57
L4	greenhouse	38	block2	B	CTR	B1	1.554	4.411	0.563	6.528	0.563	40.6	0.750	42.186	3.372	-32.235	96.1	0.55
L4	greenhouse	39	block2	B	CTR	B1	1.465	4.424	0.442	6.331	0.442	40.0	1.299	42.408	2.714	-32.906	99.1	
L4	greenhouse	40	block2	B	ENVw	B1	0.922	2.213	0.235	3.370	0.235	25.9	1.327	40.508	3.410	-32.252	71.2	0.67
L4	greenhouse	41	block2	B	ENVw	B1	1.157	2.987	0.418	4.561	0.418	36.9	0.736	41.169	2.957	-32.260	87.3	0.66
L4	greenhouse	42	block2	B	ENVw	B1	1.215	2.991	0.380	4.585	0.380	34.8	0.791	41.849	2.777	-32.333	76.2	0.53
L4	greenhouse	43	block2	B	ENVb	B1	1.538	4.594	0.617	6.749	0.617	42.1	0.792	42.869	2.862	-32.405	99.7	0.68
L4	greenhouse	44	block2	B	ENVb	B1	1.148	3.971	0.448	5.566	0.448	37.6	0.795	40.437	3.395	-32.426	84.3	0.87
L4	greenhouse	45	block2	B	ENVb	B1	1.078	3.193	0.629	4.900	0.629	40.0	0.683	41.952	2.314	-32.286	77.9	0.56
L4	greenhouse	46	block2	B	GENw	B2	0.506	4.001	0.623	5.130	0.623	37.7	1.449	41.679	3.433	-31.931	90.8	0.65
L4	greenhouse	47	block2	B	GENw	B2	0.455	4.392	0.723	5.570	0.723	35.2	0.768	41.513	3.272	-31.985	90.7	0.49
L4	greenhouse	48	block2	B	GENw	B2	1.408	5.638	0.752	7.797	0.752	33.4	1.787	41.848	1.635		93.6	0.58
L4	greenhouse	49	block2	B	GENb	B1	1.792	4.712	0.509	7.014	0.509	37.0	1.727	40.883	2.149	-31.025	97.3	0.62
L4	greenhouse	50	block2	B	GENb	B2	0.802	4.150	0.526	5.479	0.526	35.1	0.749	41.144	3.015	-31.797	89.1	0.72
L4	greenhouse	51	block2	B	GENb	B2	0.306	4.640	0.778	5.723	0.778	32.6	1.656	42.483	2.151	-31.792	69.5	0.71
L4	greenhouse	52	block2	B	ENVw+GENw	B2	0.533	3.663	0.778	4.974	0.778	36.9	0.669	40.556	2.980	-31.884	78.9	0.58
L4	greenhouse	53	block2	B	ENVw+GENw	B2	0.374	3.609	0.605	4.587	0.605	27.1	0.749	41.876	2.664	-31.812	79.6	0.75
L4	greenhouse	54	block2	B	ENVw+GENw	B2	0.569	4.148	0.617	5.334	0.617	29.5	0.816	41.726	2.840		83.7	0.73
